Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Gohir.D07G107900	Gohir.D07G171000	Gohir.D07G022800	Gohir.D07G171000	Gohir.D07G178400	Gohir.D07G159700	Gohir.D07G171000	Gohir.D07G022800	Gohir.D07G159700	Gohir.D07G178400	Gohir.D07G070400	Gohir.D07G171000	Gohir.D06G117600	Gohir.D07G045000	Gohir.D02G042266	Gohir.D07G178400	Gohir.D07G106400	Gohir.D07G178400	Gohir.D07G022800	Gohir.D07G022800	Gohir.D01G127900	Gohir.D07G039550	Gohir.D07G010200	Gohir.D07G008465	Gohir.D07G187100	Gohir.D07G150400	Gohir.D11G167000	Gohir.D01G054332	Gohir.D07G024300	Gohir.D03G011700	Gohir.D07G187100	Gohir.D07G023800	Gohir.D06G117600	Gohir.D07G049900	Gohir.D07G228100	Gohir.D07G228100	Gohir.D01G216000	Gohir.D01G065200	Gohir.D07G008465	Gohir.D07G070400	Gohir.D07G032851	Gohir.D01G173000	Gohir.D07G168900	Gohir.D07G070400	Gohir.D07G171900	Gohir.D07G180900	Gohir.D07G056200	Gohir.D07G143600	Gohir.D11G167000	Gohir.D08G239800	Gohir.D07G056200	Gohir.D08G078500	Gohir.D08G144400	Gohir.D07G134900	Gohir.D07G023800	
Gohir.D07G039900	Gohir.D07G159700	Gohir.D07G070400	Gohir.D07G159700	Gohir.D07G065600	Gohir.D07G240200	Gohir.D07G159700	Gohir.D07G008465	Gohir.D07G240200	Gohir.D07G065600	Gohir.D07G015500	Gohir.D07G159700	Gohir.D09G009400	Gohir.D01G065200		Gohir.D07G065600	Gohir.D08G265600	Gohir.D07G065600	Gohir.D07G039550	Gohir.D07G237100	Gohir.D01G001100	Gohir.D07G133100	Gohir.D07G073200	Gohir.D07G008432	Gohir.D07G024300	Gohir.D08G025100	Gohir.D05G009100	Gohir.D11G226360	Gohir.D01G034100		Gohir.D11G165800	Gohir.D07G173400	Gohir.D09G009400	Gohir.D07G133200	Gohir.D07G146100	Gohir.D07G146100	Gohir.D01G075300	Gohir.D01G024500	Gohir.D07G008432	Gohir.D07G015500	Gohir.D01G028200	Gohir.D02G236000	Gohir.D01G020500	Gohir.D07G015500	Gohir.D07G171700	Gohir.D11G169700	Gohir.D07G143600	Gohir.D07G181300	Gohir.D05G009100	Gohir.D11G317500	Gohir.D07G090800	Gohir.D08G138000	Gohir.D10G211400	Gohir.D01G113000	Gohir.D07G173400	
Gohir.D07G038000	Gohir.D07G117200	Gohir.D07G015500	Gohir.D07G117200	Gohir.D07G106400	Gohir.D07G057000	Gohir.D07G117200	Gohir.D07G187100	Gohir.D07G057000	Gohir.D07G106400	Gohir.D07G056200	Gohir.D07G117200	Gohir.D03G147600	Gohir.D08G249400		Gohir.D07G106400	Gohir.D08G222200	Gohir.D01G103900	Gohir.D07G237100	Gohir.D07G054600	Gohir.D01G195800	Gohir.D01G187200	Gohir.D07G165639	Gohir.D07G068100	Gohir.D07G150400	Gohir.D11G331550	Gohir.D12G161900	Gohir.D11G241200	Gohir.D08G040500		Gohir.D11G237000	Gohir.D01G130500	Gohir.D03G147600	Gohir.D07G051600	Gohir.D01G177000	Gohir.D01G177000	Gohir.D11G287000	Gohir.D06G072000	Gohir.D07G058600	Gohir.D07G171900	Gohir.D06G154200	Gohir.D02G184350	Gohir.D11G224900	Gohir.D07G208800	Gohir.D07G215500	Gohir.D11G169600	Gohir.D07G134900	Gohir.D08G025100	Gohir.D12G161900	Gohir.D11G234800	Gohir.D11G226360	Gohir.D06G218600		Gohir.D01G057000	Gohir.D01G130500	
Gohir.D07G188300	Gohir.D07G240200	Gohir.D07G056200	Gohir.D07G240200	Gohir.D01G103900	Gohir.D07G164900	Gohir.D07G240200	Gohir.D07G008432	Gohir.D07G164900	Gohir.D01G103900	Gohir.D07G008465	Gohir.D07G240200	Gohir.D13G117700	Gohir.D08G224100		Gohir.D01G103900	Gohir.D08G224600	Gohir.D01G152400	Gohir.D07G054600	Gohir.D07G183900	Gohir.D08G264900	Gohir.D08G140300	Gohir.D01G038200	Gohir.D07G165100	Gohir.D01G054332	Gohir.D03G169466		Gohir.D11G259666	Gohir.D08G078500		Gohir.D10G065200	Gohir.D01G172000	Gohir.D13G117700	Gohir.D07G080700	Gohir.D01G038800	Gohir.D01G038800	Gohir.D06G010100	Gohir.D06G123600	Gohir.D07G037600	Gohir.D07G168900		Gohir.D02G184300	Gohir.D11G268900	Gohir.D07G115000	Gohir.D07G197100		Gohir.D07G090800	Gohir.D11G170500		Gohir.D06G089600	Gohir.D11G241200	Gohir.D06G117400		Gohir.D01G077700	Gohir.D01G172000	
Gohir.D07G098000	Gohir.D07G057000	Gohir.D07G008465	Gohir.D07G057000	Gohir.D01G152400	Gohir.D07G022800	Gohir.D07G070400	Gohir.D07G039550	Gohir.D07G130700	Gohir.D01G152400	Gohir.D07G008432	Gohir.D07G130700	Gohir.D13G092201	Gohir.D11G324800		Gohir.D01G152400	Gohir.D08G220900	Gohir.D01G190300	Gohir.D07G010200	Gohir.D07G214600	Gohir.D11G068000	Gohir.D08G014300	Gohir.D01G117900	Gohir.D07G124600	Gohir.D01G034100	Gohir.D04G004000		Gohir.D09G151000	Gohir.D08G138000			Gohir.D01G012800	Gohir.D13G092201	Gohir.D08G167700	Gohir.D01G059600	Gohir.D01G059600	Gohir.D06G210100	Gohir.D06G110400	Gohir.D07G112700	Gohir.D07G032851			Gohir.D11G152300	Gohir.D07G094300	Gohir.D07G013766		Gohir.D07G181300	Gohir.D06G064400		Gohir.D09G143900	Gohir.D11G259666	Gohir.D13G032600		Gohir.D01G062200	Gohir.D01G012800	
Gohir.D07G068700	Gohir.D07G164900	Gohir.D07G187100	Gohir.D07G164900	Gohir.D01G190300	Gohir.D07G130700	Gohir.D07G130700	Gohir.D07G237100	Gohir.D07G202600	Gohir.D01G190300	Gohir.D07G171900	Gohir.D07G199350	Gohir.D04G044101	Gohir.D06G072000		Gohir.D01G190300	Gohir.D11G171900	Gohir.D01G167600	Gohir.D07G183900	Gohir.D07G149400	Gohir.D11G076300	Gohir.D08G014400	Gohir.D01G120330	Gohir.D07G096200	Gohir.D08G040500	Gohir.D04G035400		Gohir.D09G027600	Gohir.D09G076600			Gohir.D01G037300	Gohir.D04G044101	Gohir.D11G113600	Gohir.D01G216000	Gohir.D08G098900	Gohir.D06G010340	Gohir.D09G232000	Gohir.D07G121900	Gohir.D07G171700			Gohir.D03G063100	Gohir.D07G168100	Gohir.D01G153400		Gohir.D01G113000	Gohir.D09G023600		Gohir.D04G111200	Gohir.D09G151000	Gohir.D13G135300		Gohir.D11G187400	Gohir.D01G037300	
Gohir.D07G099800	Gohir.D07G022800	Gohir.D07G008432	Gohir.D07G130700	Gohir.D01G167600	Gohir.D07G202600	Gohir.D07G015500	Gohir.D07G068100	Gohir.D07G049500	Gohir.D01G167600	Gohir.D07G049900	Gohir.D07G202600	Gohir.D04G128300	Gohir.D06G110400		Gohir.D01G167600	Gohir.D11G340500	Gohir.D08G149400	Gohir.D07G214600	Gohir.D07G176300	Gohir.D06G187000	Gohir.D11G278300	Gohir.D01G131700	Gohir.D07G027900	Gohir.D08G025100			Gohir.D05G253400	Gohir.D03G069704			Gohir.D08G028600	Gohir.D04G128300	Gohir.D11G309400	Gohir.D01G075300	Gohir.D08G019600	Gohir.D09G036100	Gohir.D09G002800	Gohir.D07G122900	Gohir.D07G208800			Gohir.D03G093800	Gohir.D01G107900	Gohir.D01G217600		Gohir.D01G057000	Gohir.D12G073300		Gohir.D12G252400	Gohir.D09G027600	Gohir.D13G138500		Gohir.D11G237000	Gohir.D08G028600	
Gohir.D07G214500	Gohir.D07G070400	Gohir.D07G171900	Gohir.D07G199350	Gohir.D08G265600	Gohir.D07G049500	Gohir.D07G199350	Gohir.D07G165100	Gohir.D07G240300	Gohir.D08G265600	Gohir.D07G058600	Gohir.D07G049500	Gohir.D02G102300	Gohir.D09G232000		Gohir.D08G265600	Gohir.D11G237300	Gohir.D08G225500	Gohir.D07G073200	Gohir.D07G101900	Gohir.D06G198300	Gohir.D11G212400	Gohir.D08G065800	Gohir.D07G137500	Gohir.D08G078500			Gohir.D10G068200	Gohir.D13G058000			Gohir.D08G264300	Gohir.D02G102300	Gohir.D09G249300	Gohir.D08G098900	Gohir.D08G163600	Gohir.D04G077600	Gohir.D09G167401	Gohir.D07G222200	Gohir.D07G215500			Gohir.D13G146400	Gohir.D01G147300	Gohir.D08G206800		Gohir.D01G077700	Gohir.D02G160900			Gohir.D03G113500	Gohir.D04G159400		Gohir.D13G135000	Gohir.D08G264300	
Gohir.D07G234250	Gohir.D07G130700	Gohir.D07G039550	Gohir.D07G202600	Gohir.D08G222200	Gohir.D07G008465	Gohir.D07G056200	Gohir.D07G023800	Gohir.D07G049600	Gohir.D08G222200	Gohir.D07G168900	Gohir.D07G145100	Gohir.D07G049900	Gohir.D09G000101		Gohir.D08G222200	Gohir.D06G042300	Gohir.D11G187100	Gohir.D07G165639	Gohir.D01G178000	Gohir.D09G135300	Gohir.D06G193400	Gohir.D08G161500	Gohir.D07G102700	Gohir.D08G138000			Gohir.D10G202500	Gohir.D13G152800			Gohir.D08G040000		Gohir.D09G045200	Gohir.D08G019600	Gohir.D08G116100	Gohir.D05G131300	Gohir.D09G000101	Gohir.D07G121966	Gohir.D07G197100			Gohir.D13G017200	Gohir.D08G056700	Gohir.D11G194600		Gohir.D01G062200				Gohir.D05G253400	Gohir.D04G000055		Gohir.D13G235900	Gohir.D08G040000	
Gohir.D07G211400	Gohir.D07G015500	Gohir.D07G049900	Gohir.D07G049500	Gohir.D08G149400	Gohir.D07G187100	Gohir.D07G202600	Gohir.D07G054600	Gohir.D07G153600	Gohir.D08G149400	Gohir.D07G133200	Gohir.D07G049600	Gohir.D07G133200	Gohir.D03G073100		Gohir.D08G149400	Gohir.D06G125900	Gohir.D11G221600	Gohir.D07G149400	Gohir.D01G103100	Gohir.D09G034900	Gohir.D06G123400	Gohir.D08G028100	Gohir.D07G212800	Gohir.D11G226360				Gohir.D04G000055			Gohir.D08G025400		Gohir.D03G109800	Gohir.D08G163600	Gohir.D08G240100	Gohir.D05G347800	Gohir.D03G073100	Gohir.D07G038600	Gohir.D07G115000			Gohir.D13G076600	Gohir.D08G074900	Gohir.D06G141500		Gohir.D08G239800				Gohir.D10G202500	Gohir.D04G000085		Gohir.D04G058500	Gohir.D08G025400	
