Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Ghe01G00010	Ghe01G00080	Ghe01G00080	Ghe01G00160	Ghe01G12850	Ghe01G00080	Ghe01G00410	Ghe01G00080	Ghe01G00160	Ghe01G12850	Ghe01G00600	Ghe01G00410	Ghe02G03080	Ghe01G08280	Ghe03G26390	Ghe01G12850	Ghe02G05430	Ghe01G12850	Ghe01G00080	Ghe01G11700	Ghe01G00080	Ghe02G19150	Ghe01G14170	Ghe01G02280	Ghe01G04320	Ghe02G00890	Ghe05G00980	Ghe01G07020	Ghe01G04320	Ghe02G21600	Ghe07G23170	Ghe01G01560	Ghe02G03080	Ghe02G02080	Ghe01G04980	Ghe01G04980	Ghe01G09420	Ghe01G03470	Ghe01G00600	Ghe01G02480	Ghe01G03940	Ghe01G23420	Ghe01G02480	Ghe01G13360	Ghe01G20220	Ghe07G22470	Ghe01G07370	Ghe03G09560	Ghe05G00980	Ghe04G14300	Ghe02G07180	Ghe03G14550	Ghe08G16980	Ghe01G07370	Ghe01G01560	
Ghe01G00020	Ghe01G00160	Ghe01G00600	Ghe01G00410	Ghe01G22650	Ghe01G00160	Ghe01G00600	Ghe01G01560	Ghe01G00410	Ghe01G22650	Ghe01G01560	Ghe01G00790	Ghe03G18630	Ghe02G02130		Ghe01G22650	Ghe03G00120	Ghe01G22650	Ghe01G02320	Ghe01G12740	Ghe01G02320	Ghe03G02350	Ghe02G09920	Ghe01G03300	Ghe01G07020	Ghe04G00710	Ghe11G18270	Ghe05G26990	Ghe02G12220		Ghe10G06530	Ghe01G04640	Ghe03G18630	Ghe02G07600	Ghe01G07810	Ghe01G07810	Ghe01G28720	Ghe01G08280	Ghe01G01770	Ghe01G03940	Ghe06G20700	Ghe03G00540	Ghe02G09090	Ghe01G21060	Ghe01G28900	Ghe11G18650	Ghe01G09670	Ghe06G08070	Ghe11G18270	Ghe06G11380	Ghe05G26990	Ghe03G23310	Ghe10G27120	Ghe01G09670	Ghe01G04640	
Ghe01G00030	Ghe01G00410	Ghe01G01560	Ghe01G00790	Ghe01G25670	Ghe01G00410	Ghe01G00790	Ghe01G02280	Ghe01G00890	Ghe01G25670	Ghe01G01770	Ghe01G01070	Ghe04G05730	Ghe02G03930		Ghe01G25670	Ghe03G02130	Ghe01G25670	Ghe01G11700	Ghe01G18250	Ghe01G26340	Ghe05G09090	Ghe04G10750	Ghe01G03410	Ghe02G00890	Ghe04G04700	Ghe12G20910	Ghe09G03840	Ghe07G02680		Ghe11G18150	Ghe01G14410	Ghe04G05730	Ghe03G04520	Ghe01G09420	Ghe01G24820	Ghe03G15170	Ghe02G02130	Ghe01G02280	Ghe01G13360	Ghe07G03550	Ghe03G06670	Ghe02G12710	Ghe03G00160	Ghe03G05290	Ghe11G18660	Ghe01G09800	Ghe07G16790	Ghe12G20910	Ghe08G28590	Ghe07G06230	Ghe04G20830		Ghe01G09800	Ghe01G14410	
Ghe01G00040	Ghe01G00600	Ghe01G01770	Ghe01G00890	Ghe02G00440	Ghe01G00890	Ghe01G01070	Ghe01G02320	Ghe01G01900	Ghe02G00440	Ghe01G02280	Ghe01G01080	Ghe04G16950	Ghe02G14290		Ghe02G00440	Ghe03G17660	Ghe02G00440	Ghe01G12740	Ghe01G20320	Ghe04G01500	Ghe05G26960	Ghe05G03110	Ghe01G03500	Ghe02G12220	Ghe07G17780		Ghe09G20370	Ghe08G03780		Ghe11G28500	Ghe01G23330	Ghe04G16950	Ghe04G20760	Ghe01G24820	Ghe02G01150	Ghe03G21430	Ghe02G14290	Ghe01G03500	Ghe01G20220		Ghe03G06690	Ghe03G12480	Ghe05G08660	Ghe04G04640		Ghe01G17400	Ghe07G22420		Ghe09G19630	Ghe07G10300	Ghe06G14870		Ghe01G17400	Ghe01G23330	
Ghe01G00050	Ghe01G00790	Ghe01G02280	Ghe01G01070	Ghe02G05430	Ghe01G01560	Ghe01G01080	Ghe01G03300	Ghe01G02290	Ghe02G05430	Ghe01G02480	Ghe01G01550	Ghe06G14910	Ghe03G12100		Ghe02G05430	Ghe03G28320	Ghe02G05700	Ghe01G14170	Ghe01G24720	Ghe04G05740	Ghe05G26970	Ghe05G04760	Ghe01G08020	Ghe02G21600	Ghe08G01960		Ghe10G06960	Ghe08G08770			Ghe03G01250	Ghe06G14910	Ghe04G20990	Ghe01G28720	Ghe03G08380	Ghe03G23970	Ghe03G12100	Ghe01G06750	Ghe01G21060			Ghe04G07910	Ghe05G09430	Ghe04G20270		Ghe02G07180	Ghe08G01960		Ghe11G28050	Ghe09G03840	Ghe06G28090		Ghe03G23520	Ghe03G01250	
Ghe01G00060	Ghe01G00890	Ghe01G02320	Ghe01G01080	Ghe02G05700	Ghe01G01900	Ghe01G01550	Ghe01G03410	Ghe01G02330	Ghe02G05700	Ghe01G03470	Ghe01G01670	Ghe09G01240	Ghe03G18590		Ghe02G05700	Ghe04G00680	Ghe02G17080	Ghe01G18250	Ghe02G09840	Ghe06G24890	Ghe06G15340	Ghe05G10480	Ghe01G11460	Ghe04G00710	Ghe09G16150		Ghe10G25990	Ghe08G16020			Ghe03G06250	Ghe09G01240	Ghe07G05490	Ghe02G01150	Ghe03G14220	Ghe04G10020	Ghe03G19840	Ghe01G09700	Ghe01G23420			Ghe04G08410	Ghe05G13980	Ghe05G03550		Ghe03G09560	Ghe09G03280		Ghe11G41270	Ghe09G20370	Ghe08G08770		Ghe04G07450	Ghe03G06250	
Ghe01G00070	Ghe01G01070	Ghe01G02480	Ghe01G01550	Ghe02G17080	Ghe01G02280	Ghe01G01560	Ghe01G03500	Ghe01G02430	Ghe02G17080	Ghe01G03500	Ghe01G01900	Ghe13G14330	Ghe03G19840		Ghe02G17080	Ghe05G03070	Ghe03G00040	Ghe01G20320	Ghe02G21460	Ghe06G26010	Ghe06G25630	Ghe05G10490	Ghe01G11470	Ghe04G04700	Ghe11G43240		Ghe11G25280	Ghe09G11720			Ghe04G18640	Ghe13G14330	Ghe07G05690	Ghe03G08380	Ghe03G25720	Ghe05G13990	Ghe04G02270	Ghe01G11460	Ghe01G28900			Ghe05G04240	Ghe05G15510	Ghe05G16240		Ghe03G14550	Ghe11G18750		Ghe12G31230	Ghe10G06200	Ghe08G16020		Ghe05G23390	Ghe05G02890	
Ghe01G00090	Ghe01G01080	Ghe01G03300	Ghe01G01670	Ghe03G00040	Ghe01G02290	Ghe01G01670	Ghe01G04320	Ghe01G02520	Ghe03G00040	Ghe01G03940	Ghe01G02290	Ghe13G15820	Ghe04G02270		Ghe03G00040	Ghe05G03300	Ghe03G03040	Ghe01G24720	Ghe03G02300	Ghe08G31360	Ghe07G15550	Ghe06G08720	Ghe01G11560	Ghe05G00980			Ghe11G28830	Ghe10G32950			Ghe05G02890	Ghe13G15820	Ghe07G08980	Ghe03G14220	Ghe04G07150	Ghe05G40050	Ghe04G23380	Ghe01G11850	Ghe02G09090			Ghe05G12800	Ghe05G45660	Ghe05G18160		Ghe03G23310	Ghe12G11790			Ghe10G25990	Ghe10G07470		Ghe05G30010	Ghe05G24270	
Ghe01G00100	Ghe01G01550	Ghe01G03410	Ghe01G01900	Ghe03G00120	Ghe01G02320	Ghe01G01770	Ghe01G04640	Ghe01G02840	Ghe03G00120	Ghe01G04640	Ghe01G02330	Ghe02G02080	Ghe04G23380		Ghe03G00120	Ghe05G10790	Ghe03G04130	Ghe01G26340	Ghe03G02820	Ghe09G01250	Ghe08G16350	Ghe07G01100	Ghe01G11850	Ghe05G26990			Ghe11G32060	Ghe13G06890			Ghe05G24270		Ghe07G15560	Ghe03G15170	Ghe04G12560	Ghe06G01490	Ghe05G12120	Ghe01G11870	Ghe02G12710			Ghe05G34180	Ghe06G19370	Ghe05G26830		Ghe03G23520				Ghe11G25280	Ghe13G03840		Ghe07G15780	Ghe06G11520	
Ghe01G00110	Ghe01G01560	Ghe01G03470	Ghe01G02290	Ghe03G02130	Ghe01G02330	Ghe01G01900	Ghe01G07020	Ghe01G03060	Ghe03G02130	Ghe01G04980	Ghe01G02500	Ghe02G07600	Ghe05G12120		Ghe03G02130	Ghe05G24220	Ghe03G09680	Ghe02G09840	Ghe03G11200	Ghe09G05760	Ghe09G15720	Ghe07G08160	Ghe01G11870	Ghe07G02680			GheUnG03860	Ghe13G20160			Ghe06G11520		Ghe08G20060	Ghe03G21430	Ghe05G09370	Ghe06G27150	Ghe05G29620	Ghe01G21890	Ghe03G00160			Ghe10G06970	Ghe07G01700	Ghe05G37620		Ghe04G07450				Ghe11G28830	Ghe13G18000		Ghe10G16910	Ghe06G21020	
