Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Gohir.A03G188901	Gohir.A03G056500	Gohir.A03G056500	Gohir.A03G067000	Gohir.A03G192600	Gohir.A03G056500	Gohir.A03G067000	Gohir.A03G056500	Gohir.A03G067000	Gohir.A03G192600	Gohir.A03G206400	Gohir.A03G067000	Gohir.A03G021200	Gohir.A03G011600	Gohir.A02G035301	Gohir.A03G192600	Gohir.A03G200700	Gohir.A03G192600	Gohir.A03G040001	Gohir.A03G114100	Gohir.A11G072200	Gohir.A03G116500	Gohir.A03G040001	Gohir.A03G056500	Gohir.A03G002901	Gohir.A03G002901	Gohir.A11G160700	Gohir.A11G229100	Gohir.A07G022225	Gohir.A02G168300	Gohir.A07G180200	Gohir.A03G208200	Gohir.A03G021200	Gohir.A03G056700	Gohir.A03G097501	Gohir.A03G147200	Gohir.A03G097501	Gohir.A03G011600	Gohir.A03G206400	Gohir.A03G067300	Gohir.A07G028825	Gohir.A03G160900	Gohir.A03G067300	Gohir.A03G216800	Gohir.A03G172800	Gohir.A07G173466	Gohir.A03G053500	Gohir.A03G137900	Gohir.A11G160700	Gohir.A11G221400	Gohir.A03G053500	Gohir.A08G117200	Gohir.A08G123000	Gohir.A07G130500	Gohir.A03G208200	
Gohir.A03G115738	Gohir.A03G065800	Gohir.A03G065800	Gohir.A03G107100	Gohir.A03G217800	Gohir.A03G065800	Gohir.A03G107100	Gohir.A03G065800	Gohir.A03G107100	Gohir.A03G217800	Gohir.A03G097501	Gohir.A03G107100	Gohir.A06G112900	Gohir.A03G029300		Gohir.A03G217800	Gohir.A03G217200	Gohir.A03G217800	Gohir.A03G114100	Gohir.A03G199300	Gohir.A11G063700	Gohir.A03G198700	Gohir.A03G070000	Gohir.A03G065800	Gohir.A07G180200	Gohir.A07G144501	Gohir.A05G008300	Gohir.A11G223950	Gohir.A08G117200		Gohir.A11G159700	Gohir.A03G164100	Gohir.A06G112900	Gohir.A03G011200	Gohir.A03G147200	Gohir.A03G005000	Gohir.A11G276900	Gohir.A03G121000	Gohir.A03G111600	Gohir.A03G118700	Gohir.A06G148300	Gohir.A03G214500	Gohir.A03G118700	Gohir.A07G160500	Gohir.A07G190800	Gohir.A11G163300	Gohir.A03G137900	Gohir.A07G138500	Gohir.A05G008300	Gohir.A11G301900	Gohir.A07G051700	Gohir.A08G070700	Gohir.A10G203300	Gohir.A11G224224	Gohir.A03G164100	
Gohir.A03G061000	Gohir.A03G067000	Gohir.A03G206400	Gohir.A03G141850	Gohir.A03G182700	Gohir.A03G067000	Gohir.A03G141850	Gohir.A03G165700	Gohir.A03G104900	Gohir.A03G182700	Gohir.A03G208200	Gohir.A03G141850	Gohir.A05G371600	Gohir.A03G121000		Gohir.A03G182700	Gohir.A03G041000	Gohir.A03G182700	Gohir.A03G070000	Gohir.A03G029700	Gohir.A08G244000	Gohir.A07G128700	Gohir.A07G009900	Gohir.A03G165700	Gohir.A07G144501	Gohir.A11G314450	Gohir.A12G158600	Gohir.A10G195600	Gohir.A08G070700		Gohir.A11G224224	Gohir.A07G197066	Gohir.A05G371600	Gohir.A03G179200	Gohir.A03G005000	Gohir.A03G104100	Gohir.A06G211100	Gohir.A06G073300	Gohir.A03G184400	Gohir.A03G216800	Gohir.A01G040600	Gohir.A03G161000	Gohir.A07G162350	Gohir.A07G089500	Gohir.A07G164380	Gohir.A11G163200	Gohir.A07G051700	Gohir.A07G174100	Gohir.A12G158600	Gohir.A08G221630	Gohir.A07G085400	Gohir.A06G112700		Gohir.A11G180828	Gohir.A07G197066	
Gohir.A03G036400	Gohir.A03G107100	Gohir.A03G097501	Gohir.A03G104900	Gohir.A03G000043	Gohir.A03G107100	Gohir.A03G206400	Gohir.A03G188700	Gohir.A03G192900	Gohir.A03G000043	Gohir.A03G067300	Gohir.A03G192900	Gohir.A09G010300	Gohir.A07G040800		Gohir.A03G000043	Gohir.A07G102200	Gohir.A03G000043	Gohir.A03G199300	Gohir.A03G070600	Gohir.A06G180100	Gohir.A11G268400	Gohir.A07G068700	Gohir.A03G188700	Gohir.A07G022225	Gohir.A08G014500		Gohir.A10G067100	Gohir.A08G029700		Gohir.A10G063600	Gohir.A07G167800	Gohir.A09G010300	Gohir.A07G047400	Gohir.A03G104100	Gohir.A07G221400	Gohir.A06G012700	Gohir.A06G108300	Gohir.A03G106900	Gohir.A03G160900		Gohir.A01G181900	Gohir.A11G146100	Gohir.A07G065900	Gohir.A07G179000		Gohir.A07G130500	Gohir.A11G164200		Gohir.A06G090600	Gohir.A11G229100	Gohir.A06G203100		Gohir.A10G096800	Gohir.A07G167800	
Gohir.A03G060700	Gohir.A03G141850	Gohir.A03G165700	Gohir.A03G192900	Gohir.A03G200700	Gohir.A03G104900	Gohir.A03G192900	Gohir.A03G039400	Gohir.A03G073700	Gohir.A03G200700	Gohir.A03G118700	Gohir.A03G073700	Gohir.A04G087900	Gohir.A11G309400		Gohir.A03G200700	Gohir.A11G165700	Gohir.A03G042400	Gohir.A03G029700	Gohir.A03G194500	Gohir.A06G189900	Gohir.A11G210700	Gohir.A11G196900	Gohir.A03G039400	Gohir.A11G314450	Gohir.A05G412000		Gohir.A05G250400	Gohir.A10G242100			Gohir.A07G022176	Gohir.A04G087900	Gohir.A07G076200	Gohir.A07G221400	Gohir.A07G140700	Gohir.A10G081300	Gohir.A06G110404	Gohir.A03G193600	Gohir.A03G214500			Gohir.A11G199300	Gohir.A07G202600	Gohir.A07G209400		Gohir.A07G138500	Gohir.A08G014500		Gohir.A09G148100	Gohir.A11G223950	Gohir.A10G043700		Gohir.A05G215700	Gohir.A07G022176	
Gohir.A03G095900	Gohir.A03G104900	Gohir.A03G188700	Gohir.A03G073700	Gohir.A03G042400	Gohir.A03G192900	Gohir.A03G073700	Gohir.A03G208200	Gohir.A03G104700	Gohir.A03G042400	Gohir.A03G011600	Gohir.A03G104700	Gohir.A13G086290	Gohir.A08G207500		Gohir.A03G042400	Gohir.A11G321400	Gohir.A03G136900	Gohir.A03G070600	Gohir.A03G126200	Gohir.A05G371500	Gohir.A08G004000	Gohir.A11G054000	Gohir.A03G183300	Gohir.A11G229100	Gohir.A05G380200		Gohir.A09G155500	Gohir.A09G076700			Gohir.A11G237000	Gohir.A13G086290	Gohir.A07G045466	Gohir.A07G140700	Gohir.A11G325900	Gohir.A05G160800	Gohir.A10G064700	Gohir.A03G045600	Gohir.A03G172800			Gohir.A11G258800	Gohir.A07G015800	Gohir.A07G014066		Gohir.A07G085400	Gohir.A06G065800		Gohir.A04G072600	Gohir.A10G195600	Gohir.A10G079300		Gohir.A05G277900	Gohir.A11G237000	
Gohir.A03G062801	Gohir.A03G206400	Gohir.A03G039400	Gohir.A03G104700	Gohir.A03G136900	Gohir.A03G073700	Gohir.A03G104700	Gohir.A03G192600	Gohir.A03G105000	Gohir.A03G136900	Gohir.A03G111600	Gohir.A03G037725	Gohir.A13G114900	Gohir.A08G229100		Gohir.A03G136900	Gohir.A11G224218	Gohir.A07G020100	Gohir.A03G116500	Gohir.A03G114000	Gohir.A05G404700	Gohir.A08G119400	Gohir.A11G055200	Gohir.A03G145400	Gohir.A11G159700			Gohir.A09G028200	Gohir.A13G063900			Gohir.A11G237100	Gohir.A13G114900	Gohir.A07G128800	Gohir.A11G325900	Gohir.A11G202300	Gohir.A05G339100	Gohir.A10G133700	Gohir.A03G066700	Gohir.A03G161000			Gohir.A10G118720	Gohir.A11G135000	Gohir.A11G188100		Gohir.A07G174100	Gohir.A09G024400		Gohir.A12G251600	Gohir.A10G060500	Gohir.A04G117700		Gohir.A05G354600	Gohir.A11G237100	
Gohir.A03G059233	Gohir.A03G192900	Gohir.A03G208200	Gohir.A03G037725	Gohir.A03G217200	Gohir.A03G104700	Gohir.A03G037725	Gohir.A03G011600	Gohir.A03G146000	Gohir.A03G217200	Gohir.A03G164100	Gohir.A03G146000	Gohir.A02G087400	Gohir.A06G073300		Gohir.A03G217200	Gohir.A08G205100	Gohir.A07G060900	Gohir.A03G194500	Gohir.A07G050200	Gohir.A09G033900	Gohir.A08G004100	Gohir.A08G017500	Gohir.A03G111600	Gohir.A11G224224			Gohir.A01G067100	Gohir.A13G148100			Gohir.A11G141700	Gohir.A02G087400	Gohir.A11G294700	Gohir.A11G276900	Gohir.A11G017800	Gohir.A05G131800	Gohir.A05G112501	Gohir.A03G159900	Gohir.A07G190800			Gohir.A10G156422	Gohir.A11G146500	Gohir.A08G188400		Gohir.A11G229100	Gohir.A12G075200			Gohir.A05G250400	Gohir.A13G134866		Gohir.A05G183200	Gohir.A11G141700	
Gohir.A03G171400	Gohir.A03G073700	Gohir.A03G067300	Gohir.A03G105000	Gohir.A03G041000	Gohir.A03G105000	Gohir.A03G097501	Gohir.A03G183300	Gohir.A03G022800	Gohir.A03G041000	Gohir.A03G216800	Gohir.A03G165100	Gohir.A03G056700	Gohir.A06G108300		Gohir.A03G041000	Gohir.A08G207900	Gohir.A07G171700	Gohir.A03G198700	Gohir.A07G143600	Gohir.A09G010400	Gohir.A06G119000	Gohir.A08G140500	Gohir.A03G104200	Gohir.A11G223950				Gohir.A02G108506			Gohir.A08G014800		Gohir.A11G109100	Gohir.A11G202300	Gohir.A08G087800	Gohir.A09G035300	Gohir.A05G398300	Gohir.A03G042099	Gohir.A07G164380			Gohir.A10G067200	Gohir.A11G226800	Gohir.A06G164200		Gohir.A11G224224				Gohir.A09G155500	Gohir.A13G131900		Gohir.A13G131500	Gohir.A08G014800	
Gohir.A03G042033	Gohir.A03G104700	Gohir.A03G192600	Gohir.A03G146000	Gohir.A07G020100	Gohir.A03G146000	Gohir.A03G146000	Gohir.A03G040001	Gohir.A03G040700	Gohir.A07G020100	Gohir.A03G053500	Gohir.A03G170800	Gohir.A03G011200	Gohir.A10G064700		Gohir.A07G020100	Gohir.A08G244700	Gohir.A11G223000	Gohir.A03G126200	Gohir.A07G097600	Gohir.A09G139300	Gohir.A06G187200	Gohir.A08G056400	Gohir.A03G033266	Gohir.A11G160700				Gohir.A02G108507			Gohir.A08G243400		Gohir.A08G146600	Gohir.A11G017800	Gohir.A08G104500	Gohir.A04G035600	Gohir.A05G274500	Gohir.A07G117500	Gohir.A07G160500			Gohir.A05G346600	Gohir.A08G066200	Gohir.A06G121600		Gohir.A11G221400				Gohir.A09G028200	Gohir.A13G034200		Gohir.A13G230400	Gohir.A08G243400	
